Game ID	Pieces placed
--------------------
0	9
1	16
2	11
3	15
4	12
5	14
6	12
7	13
8	12
9	10
10	11
11	13
12	15
13	13
14	16
15	11
16	14
17	15
18	11
19	17
20	12
21	13
22	16
23	12
24	15
25	13
26	14
27	14
28	13
29	12
30	10
31	14
32	15
33	11
34	12
35	16
36	14
37	11
38	14
39	8
40	12
41	12
42	16
43	16
44	13
45	12
46	12
47	13
48	13
49	11
50	10
51	12
52	11
53	15
54	12
55	12
56	17
57	11
58	19
59	10
60	15
61	11
62	14
63	14
64	16
65	14
66	11
67	13
68	12
69	11
70	10
71	14
72	14
73	13
74	11
75	12
76	11
77	13
78	11
79	10
80	13
81	12
82	14
83	15
84	12
85	13
86	12
87	18
88	12
89	13
90	12
91	14
92	16
93	14
94	13
95	14
96	15
97	10
98	11
99	11
100	14
101	12
102	12
103	11
104	10
105	10
106	13
107	13
108	10
109	14
110	12
111	14
112	12
113	13
114	12
115	11
116	11
117	11
118	14
119	14
120	9
121	12
122	15
123	12
124	16
125	10
126	15
127	13
128	11
129	12
130	11
131	12
132	10
133	12
134	15
135	14
136	12
137	17
138	14
139	15
140	12
141	13
142	17
143	13
144	14
145	14
146	11
147	13
148	14
149	9
150	14
151	12
152	15
153	12
154	12
155	9
156	13
157	11
158	16
159	14
160	13
161	13
162	12
163	12
164	12
165	9
166	15
167	13
168	15
169	12
170	17
171	16
172	14
173	10
174	13
175	18
176	12
177	11
178	14
179	11
180	9
181	12
182	15
183	14
184	13
185	12
186	17
187	13
188	13
189	19
190	14
191	16
192	15
193	16
194	14
195	15
196	14
197	12
198	12
199	13
200	12
201	14
202	13
203	14
204	11
205	12
206	17
207	14
208	12
209	18
210	11
211	16
212	11
213	16
214	14
215	13
216	17
217	13
218	10
219	11
220	13
221	10
222	9
223	17
224	15
225	13
226	13
227	19
228	20
229	16
230	12
231	13
232	13
233	11
234	16
235	14
236	17
237	14
238	15
239	13
240	8
241	13
242	13
243	11
244	11
245	13
246	13
247	18
248	13
249	17
250	12
251	15
252	11
253	16
254	13
255	12
256	16
257	15
258	20
259	18
260	11
261	12
262	16
263	15
264	18
265	18
266	14
267	12
268	15
269	14
270	12
271	12
272	19
273	16
274	17
275	15
276	14
277	15
278	14
279	15
280	11
281	21
282	13
283	16
284	12
285	15
286	11
287	13
288	15
289	16
290	16
291	20
292	14
293	13
294	21
295	15
296	12
297	12
298	13
299	17
300	16
301	19
302	13
303	11
304	14
305	19
306	12
307	17
308	18
309	17
310	12
311	19
312	13
313	12
314	20
315	15
316	17
317	19
318	12
319	20
320	12
321	22
322	14
323	16
324	13
325	12
326	13
327	13
328	21
329	10
330	15
331	21
332	13
333	20
334	14
335	15
336	15
337	14
338	16
339	23
340	15
341	18
342	15
343	17
344	23
345	16
346	11
347	11
348	18
349	18
350	17
351	20
352	15
353	14
354	17
355	14
356	10
357	20
358	24
359	21
360	20
361	20
362	16
363	19
364	12
365	10
366	19
367	16
368	14
369	15
370	22
371	19
372	16
373	19
374	12
375	17
376	15
377	15
378	16
379	18
380	11
381	17
382	13
383	18
384	20
385	21
386	14
387	19
388	16
389	19
390	17
391	20
392	17
393	11
394	17
395	14
396	14
397	13
398	20
399	15
400	19
401	16
402	19
403	17
404	15
405	14
406	14
407	16
408	21
409	11
410	19
411	18
412	16
413	16
414	16
415	14
416	20
417	12
418	14
419	17
420	14
421	23
422	16
423	10
424	22
425	24
426	22
427	15
428	19
429	15
430	11
431	18
432	18
433	17
434	19
435	20
436	20
437	21
438	14
439	18
440	19
441	22
442	14
443	12
444	20
445	14
446	24
447	17
448	20
449	11
450	10
451	24
452	23
453	23
454	19
455	15
456	18
457	22
458	14
459	24
460	23
461	21
462	19
463	9
464	17
465	21
466	15
467	14
468	23
469	23
470	13
471	14
472	14
473	19
474	17
475	12
476	13
477	15
478	15
479	12
480	17
481	19
482	19
483	16
484	19
485	22
486	23
487	12
488	13
489	15
490	22
491	15
492	21
493	15
494	15
495	15
496	20
497	18
498	19
499	13
500	11
501	20
502	20
503	15
504	20
505	23
506	19
507	18
508	17
509	15
510	20
511	20
512	18
513	19
514	15
515	22
516	20
517	21
518	21
519	11
520	11
521	19
522	9
523	15
524	23
525	17
526	13
527	17
528	11
529	13
530	12
531	17
532	22
533	11
534	21
535	12
536	12
537	14
538	17
539	15
540	10
541	19
542	15
543	16
544	12
545	10
546	17
547	16
548	16
549	17
550	13
551	15
552	15
553	16
554	14
555	13
556	13
557	11
558	16
559	18
560	14
561	20
562	12
563	18
564	20
565	16
566	14
567	14
568	11
569	13
570	15
571	16
572	18
573	10
574	17
575	16
576	13
577	10
578	14
579	15
580	17
581	16
582	16
583	16
584	13
585	13
586	19
587	16
588	18
589	15
590	10
591	14
592	16
593	14
594	17
595	19
596	14
597	17
598	12
599	14
600	13
601	13
602	11
603	14
604	14
605	14
606	13
607	15
608	15
609	14
610	16
611	17
612	12
613	12
614	16
615	14
616	16
617	13
618	13
619	15
620	13
621	16
622	16
623	16
624	20
625	14
626	18
627	15
628	13
629	13
630	16
631	19
632	16
633	12
634	21
635	10
636	14
637	21
638	14
639	14
640	10
641	12
642	10
643	18
644	11
645	16
646	14
647	17
648	10
649	16
650	16
651	10
652	18
653	12
654	14
655	9
656	13
657	13
658	19
659	17
660	14
661	17
